epoch,aa_acc,acc,kl_loss,loss,vae_loss,val_aa_acc,val_acc,val_kl_loss,val_loss,val_vae_loss,val_xent_loss,xent_loss
0,0.21124564111232758,0.3103811275213957,18.438295632600784,3358.47607421875,3358.47607421875,0.3343564197421074,0.4962817132472992,137.47188186645508,2795.4192504882812,2795.4192504882812,2657.9473876953125,3340.0377807617188
1,0.35989775508642197,0.5217287242412567,371.6190299987793,2454.8460083007812,2454.8460083007812,0.3988717496395111,0.5581870675086975,407.6443099975586,2116.3604125976562,2116.3604125976562,1708.7161254882812,2083.2268981933594
2,0.39583756029605865,0.5536827445030212,229.1030158996582,1934.5608520507812,1934.5608520507812,0.40033797174692154,0.5521175116300583,62.687148094177246,1872.9157409667969,1872.9157409667969,1810.2286376953125,1705.4578247070312
3,0.40929461270570755,0.5587612092494965,57.34099006652832,1773.3955688476562,1773.3955688476562,0.40895111858844757,0.5604904890060425,71.92113876342773,1685.3542175292969,1685.3542175292969,1613.4330749511719,1716.0545959472656
4,0.4231543093919754,0.571378767490387,73.03861236572266,1684.0444946289062,1684.0444946289062,0.4562016576528549,0.6019725948572159,51.754631996154785,1560.99853515625,1560.99853515625,1509.2438659667969,1611.005859375
5,0.45944737643003464,0.6054790019989014,41.68345642089844,1551.1145935058594,1551.1145935058594,0.4679320901632309,0.6209399551153183,37.61684226989746,1505.3879699707031,1505.3879699707031,1467.7710876464844,1509.4311218261719
6,0.4852171838283539,0.6326621174812317,44.300392150878906,1462.2943725585938,1462.2943725585938,0.5169179737567902,0.6574461460113525,61.88613224029541,1357.8935546875,1357.8935546875,1296.0074157714844,1417.9940795898438
7,0.52843177318573,0.6646298170089722,65.21894073486328,1335.0225524902344,1335.0225524902344,0.5649484544992447,0.6915805339813232,62.70420169830322,1261.7407531738281,1261.7407531738281,1199.0365295410156,1269.8036499023438
8,0.586821511387825,0.7072807103395462,64.07278347015381,1197.9234008789062,1197.9234008789062,0.5893454104661942,0.71019247174263,64.12094974517822,1165.4594421386719,1165.4594421386719,1101.3384857177734,1133.8506164550781
9,0.5872698724269867,0.706672415137291,65.26172542572021,1166.9391479492188,1166.9391479492188,0.5959864407777786,0.7138355672359467,70.80716514587402,1107.8941040039062,1107.8941040039062,1037.0869903564453,1101.677474975586
10,0.6036887615919113,0.7199939787387848,70.22859001159668,1077.2009735107422,1077.2009735107422,0.6071038693189621,0.7259746789932251,62.15106010437012,1041.207504272461,1041.207504272461,979.0564422607422,1006.9723663330078
11,0.609711766242981,0.7253868728876114,59.82456588745117,1033.872787475586,1033.872787475586,0.6397782266139984,0.7470814138650894,65.06968402862549,942.2826232910156,942.2826232910156,877.2129211425781,974.0482788085938
12,0.6095308512449265,0.7271844893693924,58.868560791015625,1011.9037780761719,1011.9037780761719,0.6257253438234329,0.7365895658731461,60.02981948852539,964.853759765625,964.853759765625,904.8239440917969,953.0352172851562
13,0.624067023396492,0.7378267198801041,56.97246074676514,956.8016815185547,956.8016815185547,0.627275750041008,0.7430213689804077,53.94103145599365,935.668212890625,935.668212890625,881.7271881103516,899.8292236328125
