epoch,aa_acc,acc,kl_loss,loss,vae_loss,val_aa_acc,val_acc,val_kl_loss,val_loss,val_vae_loss,val_xent_loss,xent_loss
0,0.28948538564145565,0.4387061434487502,79.49251021941502,2529.1973876953125,2529.1973876953125,0.41904202103614807,0.61371710896492,500.45496622721356,1698.5919799804688,1698.5919799804688,1198.1370239257812,2449.704874674479
1,0.4374566425879796,0.629084438085556,336.12216567993164,1519.864766438802,1519.864766438802,0.44532422721385956,0.633207231760025,63.611245473225914,1312.8939819335938,1312.8939819335938,1249.28271484375,1183.7426147460938
2,0.44664167364438373,0.6344024042288462,55.56084632873535,1232.059326171875,1232.059326171875,0.4556327710549037,0.6418804824352264,72.8928337097168,1182.267557779948,1182.267557779948,1109.3747151692708,1176.4984537760417
3,0.47867511212825775,0.6563651363054911,51.53479512532552,1124.7347005208333,1124.7347005208333,0.5332092344760895,0.6903179883956909,27.746358553568523,1045.0568339029949,1045.0568339029949,1017.3104858398438,1073.1999104817708
4,0.5416271686553955,0.6951699554920197,33.13832950592041,1027.5704854329426,1027.5704854329426,0.5544733703136444,0.7041995624701182,45.12534395853678,976.5990905761719,976.5990905761719,931.4737141927084,994.4322001139323
5,0.5542531162500381,0.7029385964075724,40.39632797241211,964.9317118326823,964.9317118326823,0.5444348057111105,0.6953344345092773,29.09193770090739,956.1705830891927,956.1705830891927,927.0786336263021,924.5354207356771
6,0.5607926398515701,0.7081688543160757,28.483837763468426,915.1027221679688,915.1027221679688,0.5574790934721628,0.7065021892388662,27.011390050252277,919.6127522786459,919.6127522786459,892.6013793945312,886.6188456217448
7,0.5533200899759928,0.7054331103960673,25.549155871073406,912.0767008463541,912.0767008463541,0.5774523019790649,0.7220504482587179,23.601510683695476,855.6064656575521,855.6064656575521,832.0049336751302,886.5275268554688
8,0.5794765452543894,0.7234868407249451,23.793373107910156,849.4308878580729,849.4308878580729,0.5908495088418325,0.7304769655068716,26.247355143229168,839.111073811849,839.111073811849,812.8636983235677,825.6375223795573
9,0.5854439238707224,0.7273081243038177,25.509776433308918,850.5164896647135,850.5164896647135,0.6009283661842346,0.7369298239549001,23.725817680358887,816.4964090983073,816.4964090983073,792.7705688476562,825.0067036946615
10,0.6045245826244354,0.7394133806228638,25.01059373219808,813.3226928710938,813.3226928710938,0.6177428166071574,0.7477247814337412,28.476526260375977,786.4488321940104,786.4488321940104,757.9723307291666,788.3121439615885
11,0.6235420306523641,0.7507620553175608,29.0708745320638,772.459238688151,772.459238688151,0.6282115777333578,0.7520394722620646,27.59925429026286,757.0088602701823,757.0088602701823,729.4096272786459,743.3883768717448
12,0.630671093861262,0.7553125023841858,28.421658833821613,753.6308085123698,753.6308085123698,0.6411780814329783,0.7621655662854513,29.1669921875,722.6806640625,722.6806640625,693.5137023925781,725.2091166178385
13,0.6268528203169504,0.7532072365283966,28.227136929829914,744.9990437825521,744.9990437825521,0.6396439572175344,0.7617489099502563,26.60107676188151,710.5274251302084,710.5274251302084,683.9263610839844,716.7719116210938
