epoch,aa_acc,acc,kl_loss,loss,vae_loss,val_aa_acc,val_acc,val_kl_loss,val_loss,val_vae_loss,val_xent_loss,xent_loss
0,0.24733932067950568,0.2647240335742633,6.046779185533524,2531.0807291666665,2531.0807291666665,0.4978206952412923,0.5289420485496521,43.880669911702476,2328.6647135416665,2328.6647135416665,2284.7840169270835,2525.033935546875
1,0.5245797137419382,0.5481709043184916,130.06531778971353,2024.9722493489583,2024.9722493489583,0.6118343075116476,0.6184587478637695,445.9834493001302,1481.9816487630208,1481.9816487630208,1035.9982503255208,1894.9068603515625
2,0.627653698126475,0.6196312308311462,458.1392415364583,1482.5567220052083,1482.5567220052083,0.6705559492111206,0.6642723083496094,298.4346211751302,1175.7134602864583,1175.7134602864583,877.2787679036459,1024.4174397786458
3,0.6422452330589294,0.6328495343526205,193.5298817952474,1141.2296142578125,1141.2296142578125,0.6455119252204895,0.6439203222592672,68.43142445882161,1058.0311279296875,1058.0311279296875,989.5996704101562,947.69970703125
4,0.6482537984848022,0.6453273097674052,56.203617095947266,1040.56787109375,1040.56787109375,0.6472641030947367,0.6388354102770487,51.82865651448568,968.441650390625,968.441650390625,916.6129760742188,984.3642985026041
5,0.6482025384902954,0.6420566836992899,58.98289998372396,949.9786987304688,949.9786987304688,0.6615360379219055,0.66042160987854,68.46005503336589,891.2116495768229,891.2116495768229,822.7516072591146,890.9957682291666
6,0.6625077724456787,0.6596317092577616,59.6858164469401,882.6341552734375,882.6341552734375,0.6732017596562704,0.685389518737793,41.729052225748696,800.5998942057291,800.5998942057291,758.8708292643229,822.9483032226562
7,0.674906055132548,0.6917086243629456,35.2601515452067,815.2698974609375,815.2698974609375,0.6995819807052612,0.7314746181170145,32.353209813435875,768.6122436523438,768.6122436523438,736.2590535481771,780.0097452799479
8,0.6959361632664999,0.7341775298118591,37.38112258911133,745.0997721354166,745.0997721354166,0.7105402946472168,0.7440017859141032,45.15109380086263,707.6553955078125,707.6553955078125,662.5042724609375,707.7186686197916
9,0.7026484807332357,0.7390649716059366,45.90262095133463,721.5250854492188,721.5250854492188,0.6979708671569824,0.7404719591140747,42.0261599222819,690.2896525065104,690.2896525065104,648.2635091145834,675.6224568684896
10,0.7080294887224833,0.7469761967658997,38.56407165527344,681.8823649088541,681.8823649088541,0.6960200667381287,0.7381763259569804,29.778961817423504,687.6496175130209,687.6496175130209,657.8706461588541,643.3182983398438
11,0.7074544628461202,0.7480376362800598,29.179725646972656,676.8265584309896,676.8265584309896,0.704210619131724,0.7446682453155518,27.082386016845703,687.3045450846354,687.3045450846354,660.22216796875,647.6468302408854
12,0.7067571481068929,0.7468527952829996,27.65167999267578,672.1929931640625,672.1929931640625,0.732174019018809,0.7664642731348673,28.849225997924805,632.9265340169271,632.9265340169271,604.0773518880209,644.5413208007812
13,0.731906791528066,0.7648104230562845,26.814032872517902,645.5723876953125,645.5723876953125,0.7416433493296305,0.7730178833007812,25.64782969156901,629.1962687174479,629.1962687174479,603.5484415690104,618.7583821614584
